Year,DHB,maori.deaths,total.deaths,maori.prop,Four.Digit.Code,Char.Code,HPI.Code,NAME
2012,11,346,1383,0.250180766,1011,NLD,G00026-A,Northland
2012,21,189,3016,0.062665782,1021,NWA,G00013-C,Waitemata
2012,22,150,2421,0.061957869,1022,CAK,G00011-K,Auckland
2012,23,338,2480,0.136290323,1023,SAK,G00012-A,Counties Manukau
2012,31,427,2673,0.159745604,2031,WKO,G00027-C,Waikato
2012,42,201,795,0.252830189,2042,LKS,G00028-E,Lakes
2012,47,302,1774,0.170236753,2047,BOP,G00031-E,Bay of Plenty
2012,51,153,407,0.375921376,2051,TRW,G00029-G,Tairawhiti
2012,61,193,1347,0.143281366,3061,HWB,G00032-G,Hawke's Bay
2012,71,93,962,0.096673597,2071,TKI,G00030-C,Taranaki
2012,81,135,1291,0.104570101,3081,MWU,G00033-J,Midcentral
2012,82,114,644,0.177018634,3082,WNI,G00035-B,Whanganui
2012,91,105,1686,0.06227758,3091,CAP,G00036-D,Capital and Coast
2012,92,92,987,0.093211753,3092,HUT,G00006-F,Hutt
2012,93,42,416,0.100961538,3093,WRP,G00037-F,Wairarapa
2012,101,41,1152,0.035590278,3101,NLM,G00038-H,Nelson Marlborough
2012,111,11,256,0.04296875,4111,WCO,G00039-K,West Coast
2012,121,133,3771,0.035269159,4121,CTY,G00005-D,Canterbury
2012,123,8,621,0.012882448,4123,SCY,G00025-K,South Canterbury
2012,160,86,2439,0.035260353,4160,SRN,G02328-E,Southern
2013,11,372,1410,0.263829787,1011,NLD,G00026-A,Northland
2013,21,178,2773,0.064190408,1021,NWA,G00013-C,Waitemata
2013,22,135,2348,0.057495741,1022,CAK,G00011-K,Auckland
2013,23,357,2579,0.138425746,1023,SAK,G00012-A,Counties Manukau
2013,31,392,2634,0.148823083,2031,WKO,G00027-C,Waikato
2013,42,211,795,0.265408805,2042,LKS,G00028-E,Lakes
2013,47,281,1772,0.158577878,2047,BOP,G00031-E,Bay of Plenty
2013,51,156,408,0.382352941,2051,TRW,G00029-G,Tairawhiti
2013,61,205,1260,0.162698413,3061,HWB,G00032-G,Hawke's Bay
2013,71,93,900,0.103333333,2071,TKI,G00030-C,Taranaki
2013,81,159,1386,0.114718615,3081,MWU,G00033-J,Midcentral
2013,82,84,586,0.14334471,3082,WNI,G00035-B,Whanganui
2013,91,131,1646,0.079586877,3091,CAP,G00036-D,Capital and Coast
2013,92,94,946,0.099365751,3092,HUT,G00006-F,Hutt
2013,93,44,395,0.111392405,3093,WRP,G00037-F,Wairarapa
2013,101,42,1192,0.035234899,3101,NLM,G00038-H,Nelson Marlborough
2013,111,14,292,0.047945205,4111,WCO,G00039-K,West Coast
2013,121,133,3499,0.03801086,4121,CTY,G00005-D,Canterbury
2013,123,19,557,0.034111311,4123,SCY,G00025-K,South Canterbury
2013,160,104,2359,0.044086477,4160,SRN,G02328-E,Southern
2014,11,328,1356,0.241887906,1011,NLD,G00026-A,Northland
2014,21,195,2983,0.065370432,1021,NWA,G00013-C,Waitemata
2014,22,164,2410,0.068049793,1022,CAK,G00011-K,Auckland
2014,23,373,2656,0.140436747,1023,SAK,G00012-A,Counties Manukau
2014,31,415,2625,0.158095238,2031,WKO,G00027-C,Waikato
2014,42,192,850,0.225882353,2042,LKS,G00028-E,Lakes
2014,47,277,1792,0.154575893,2047,BOP,G00031-E,Bay of Plenty
2014,51,133,378,0.351851852,2051,TRW,G00029-G,Tairawhiti
2014,61,208,1351,0.15396003,3061,HWB,G00032-G,Hawke's Bay
2014,71,100,939,0.106496273,2071,TKI,G00030-C,Taranaki
2014,81,143,1418,0.100846262,3081,MWU,G00033-J,Midcentral
2014,82,85,592,0.143581081,3082,WNI,G00035-B,Whanganui
2014,91,119,1651,0.072077529,3091,CAP,G00036-D,Capital and Coast
2014,92,80,1016,0.078740157,3092,HUT,G00006-F,Hutt
2014,93,37,442,0.083710407,3093,WRP,G00037-F,Wairarapa
2014,101,46,1109,0.04147881,3101,NLM,G00038-H,Nelson Marlborough
2014,111,15,270,0.055555556,4111,WCO,G00039-K,West Coast
2014,121,181,3761,0.048125499,4121,CTY,G00005-D,Canterbury
2014,123,18,596,0.030201342,4123,SCY,G00025-K,South Canterbury
2014,160,117,2471,0.047349251,4160,SRN,G02328-E,Southern
